Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,3,1,-0.565736461,1,0,-0.502445171,,0
1,3,0,-0.258337088,0,0,-0.488854258,,0
1,1,0,0.433311502,1,0,0.420730236,C123,0
0,3,1,0.433311502,0,0,-0.486337422,,0
0,3,1,-0.104637401,0,0,-0.478116429,,0
0,1,1,1.893458525,0,0,0.395813561,E46,0
0,3,1,-2.102733328,3,1,-0.224083121,,0
1,3,0,-0.181487244,0,2,-0.424256141,,0
1,2,0,-1.180535208,1,0,-0.042955502,,0
1,3,0,-1.949033641,1,1,-0.312172378,G6,0
1,1,0,2.200857898,0,0,-0.113845709,C103,0
0,3,1,-0.719436148,0,0,-0.486337422,,0
0,3,1,0.740710875,1,5,-0.018709312,,0
0,3,0,-1.180535208,0,0,-0.490279793,,0
1,2,0,1.970308369,0,0,-0.326266659,,0
0,3,1,-2.102733328,4,1,-0.061998889,,0
1,2,1,-0.104637401,0,0,-0.38667072,,0
0,3,0,0.125912129,1,0,-0.285997284,,0
1,3,0,-0.104637401,0,0,-0.502948539,,0
0,2,1,0.433311502,0,0,-0.124919787,,0
1,2,1,0.356461659,0,0,-0.38667072,D56,0
1,3,0,-1.103685364,0,0,-0.486756223,,0
1,1,1,-0.104637401,0,0,0.066359742,A6,0
0,3,0,-1.641634268,3,1,-0.224083121,,0
1,3,0,0.663861032,1,5,-0.016444159,,0
0,3,1,-0.104637401,0,0,-0.502948539,,0
1,3,0,-0.104637401,0,0,-0.489776426,,0
0,3,1,-0.104637401,0,0,-0.48944219,,0
0,1,1,0.817560719,0,0,-0.090272017,,0
1,3,0,-0.104637401,0,0,-0.492377828,,0
0,2,1,2.815656645,0,0,-0.437007438,,0
0,1,1,0.971260405,1,0,0.39858208,,0
1,3,1,-0.104637401,0,0,-0.502863973,,0
0,3,1,-0.642586304,0,0,-0.486337422,,0
0,3,0,-0.873135834,2,0,-0.285997284,,0
1,3,0,-1.180535208,1,0,-0.422073541,,0
0,3,0,0.817560719,1,0,-0.457645492,,0
0,2,0,-0.181487244,1,0,-0.225593223,,0
0,3,1,-0.104637401,0,0,-0.48944219,,0
1,2,0,-2.025883484,1,2,0.188762532,,0
1,3,0,-0.796285991,0,0,-0.489776426,,0
0,3,1,-0.104637401,0,0,-0.486337422,,0
0,3,1,-0.104637401,1,0,-0.336334002,,0
1,3,0,-0.104637401,0,0,-0.492377828,,0
0,3,1,-0.104637401,2,0,-0.211917743,,0
0,3,0,-0.873135834,1,0,-0.290024222,,0
0,3,1,-1.718484111,4,1,0.150673744,,0
0,3,1,-0.642586304,0,0,-0.491371093,,0
1,2,0,-0.027787558,1,0,-0.124919787,,0
0,1,1,2.738806802,0,1,0.599510151,B30,0
1,1,1,-0.104637401,0,0,0.066359742,C52,0
1,2,0,-0.642586304,0,0,-0.437007438,,0
0,3,1,-0.066212479,0,0,-0.502863973,,0
1,2,0,-1.872183798,1,2,-0.089684084,,0
0,3,1,-1.411084738,5,2,0.295895176,,0
0,3,1,-0.565736461,0,0,-0.502863973,,0
0,3,1,-1.949033641,3,2,-0.086663881,,0
0,1,1,-0.104637401,0,0,-0.090272017,,0
1,3,1,-0.104637401,1,1,-0.34145224,,0
1,2,0,-0.027787558,0,0,-0.437007438,F33,0
0,3,1,-0.796285991,0,0,-0.484156835,,0
1,3,0,-0.949985678,4,2,-0.488854258,,0
0,3,1,-0.258337088,2,0,-0.474004926,,0
0,2,1,0.202761972,0,0,-0.437007438,,0
0,3,0,-1.026835521,5,2,0.295895176,,0
0,3,1,-0.258337088,1,0,-0.357390858,,0
1,3,1,0.202761972,0,0,0.489103607,,0
0,3,1,-0.335186931,0,0,-0.494391297,F G73,0
0,3,1,-0.104637401,0,0,-0.48944219,,0
0,3,1,-0.104637401,0,0,-0.486337422,,0
1,2,1,-2.192647644,0,2,-0.064515725,,0
1,3,0,0.049062285,0,0,-0.397241431,,0
0,3,1,-0.565736461,0,0,-0.467209469,,0
1,3,1,-0.027787558,0,0,-0.457142125,,0
1,3,0,-0.104637401,0,0,-0.491622777,,0
0,1,1,-0.104637401,0,0,0.299922113,,0
1,2,0,-0.949985678,0,0,-0.437007438,,0
1,3,0,0.279611815,3,0,-0.329286862,,0
0,3,1,-1.026835521,1,3,0.043708218,,0
0,3,1,-0.104637401,0,0,-0.486337422,,0
0,3,1,-0.412036774,0,0,-0.486337422,,0
0,3,1,-0.027787558,0,0,-0.486337422,,0
0,3,1,-0.719436148,0,0,-0.490279793,,0
0,1,1,1.278659779,1,0,0.583317835,E31,0
0,3,1,-0.258337088,1,2,-0.234150465,,0
0,3,1,2.277707742,0,0,-0.502445171,,0
0,3,1,-0.104637401,0,0,-0.486337422,,0
0,1,1,3.199905862,0,0,0.049329823,A5,0
1,1,1,-0.488886618,0,1,0.627277898,D10 D12,0
1,2,0,0.356461659,0,1,-0.185323848,,0
0,2,1,0.356461659,1,0,-0.124919787,,0
0,3,0,-0.104637401,0,0,-0.48944219,,0
0,3,1,-0.104637401,0,0,-0.48944219,,0
0,3,1,0.279611815,0,0,-0.474172044,,0
0,3,1,0.587011189,2,0,-0.488854258,,0
0,3,1,-0.104637401,0,0,-0.48944219,,0
1,3,0,-0.642586304,0,0,-0.494391297,,0
1,3,1,-0.104637401,0,0,-0.491874461,,0
0,3,1,0.663861032,0,0,-0.48944219,,0
1,3,0,-0.104637401,1,0,-0.162168958,,0
0,1,1,1.355509622,0,0,0.39858208,C110,0
